"Sex";"Age, 31 December";"Periods";"Deaths (aantal)"
"Total male and female";"65 to 79 years";"1972 week 1";"    1028"
"Total male and female";"65 to 79 years";"1972 week 2";"     962"
"Total male and female";"65 to 79 years";"1972 week 3";"    1044"
"Total male and female";"65 to 79 years";"1972 week 4";"    1017"
"Total male and female";"65 to 79 years";"1972 week 5";"    1018"
"Total male and female";"65 to 79 years";"1972 week 6";"     965"
"Total male and female";"65 to 79 years";"1972 week 7";"     885"
"Total male and female";"65 to 79 years";"1972 week 8";"     884"
"Total male and female";"65 to 79 years";"1972 week 9";"     923"
"Total male and female";"65 to 79 years";"1972 week 10";"     893"
"Total male and female";"65 to 79 years";"1972 week 11";"     870"
"Total male and female";"65 to 79 years";"1972 week 12";"     900"
"Total male and female";"65 to 79 years";"1972 week 13";"     837"
"Total male and female";"65 to 79 years";"1972 week 14";"     862"
"Total male and female";"65 to 79 years";"1972 week 15";"     853"
"Total male and female";"65 to 79 years";"1972 week 16";"     772"
"Total male and female";"65 to 79 years";"1972 week 17";"     801"
"Total male and female";"65 to 79 years";"1972 week 18";"     807"
"Total male and female";"65 to 79 years";"1972 week 19";"     818"
"Total male and female";"65 to 79 years";"1972 week 20";"     881"
"Total male and female";"65 to 79 years";"1972 week 21";"     832"
"Total male and female";"65 to 79 years";"1972 week 22";"     864"
"Total male and female";"65 to 79 years";"1972 week 23";"     838"
"Total male and female";"65 to 79 years";"1972 week 24";"     816"
"Total male and female";"65 to 79 years";"1972 week 25";"     786"
"Total male and female";"65 to 79 years";"1972 week 26";"     872"
"Total male and female";"65 to 79 years";"1972 week 27";"     782"
"Total male and female";"65 to 79 years";"1972 week 28";"     829"
"Total male and female";"65 to 79 years";"1972 week 29";"    1007"
"Total male and female";"65 to 79 years";"1972 week 30";"     795"
"Total male and female";"65 to 79 years";"1972 week 31";"     769"
"Total male and female";"65 to 79 years";"1972 week 32";"     827"
"Total male and female";"65 to 79 years";"1972 week 33";"     791"
"Total male and female";"65 to 79 years";"1972 week 34";"     777"
"Total male and female";"65 to 79 years";"1972 week 35";"     824"
"Total male and female";"65 to 79 years";"1972 week 36";"     825"
"Total male and female";"65 to 79 years";"1972 week 37";"     835"
"Total male and female";"65 to 79 years";"1972 week 38";"     829"
"Total male and female";"65 to 79 years";"1972 week 39";"     818"
"Total male and female";"65 to 79 years";"1972 week 40";"     902"
"Total male and female";"65 to 79 years";"1972 week 41";"     857"
"Total male and female";"65 to 79 years";"1972 week 42";"     834"
"Total male and female";"65 to 79 years";"1973 week 43";"     919"
"Total male and female";"65 to 79 years";"1972 week 44";"     809"
"Total male and female";"65 to 79 years";"1972 week 45";"     819"
"Total male and female";"65 to 79 years";"1972 week 46";"     885"
"Total male and female";"65 to 79 years";"1972 week 47";"     857"
"Total male and female";"65 to 79 years";"1972 week 48";"     940"
"Total male and female";"65 to 79 years";"1972 week 49";"     969"
"Total male and female";"65 to 79 years";"1972 week 50";"     941"
"Total male and female";"65 to 79 years";"1972 week 51";"     943"
"Total male and female";"65 to 79 years";"1972 week 52";"    1101"
"Total male and female";"65 to 79 years";"1972";"   45820"
"Total male and female";"65 to 79 years";"1973 week 1";"    1283"
"Total male and female";"65 to 79 years";"1973 week 2";"    1176"
"Total male and female";"65 to 79 years";"1973 week 3";"    1027"
"Total male and female";"65 to 79 years";"1973 week 4";"     906"
"Total male and female";"65 to 79 years";"1973 week 5";"     875"
"Total male and female";"65 to 79 years";"1973 week 6";"     887"
"Total male and female";"65 to 79 years";"1973 week 7";"     880"
"Total male and female";"65 to 79 years";"1973 week 8";"     798"
"Total male and female";"65 to 79 years";"1973 week 9";"     867"
"Total male and female";"65 to 79 years";"1973 week 10";"     808"
"Total male and female";"65 to 79 years";"1973 week 11";"     870"
"Total male and female";"65 to 79 years";"1973 week 12";"     893"
"Total male and female";"65 to 79 years";"1973 week 13";"     796"
"Total male and female";"65 to 79 years";"1973 week 14";"     806"
"Total male and female";"65 to 79 years";"1973 week 15";"     817"
"Total male and female";"65 to 79 years";"1973 week 16";"     792"
"Total male and female";"65 to 79 years";"1973 week 17";"     830"
"Total male and female";"65 to 79 years";"1973 week 18";"     821"
"Total male and female";"65 to 79 years";"1973 week 19";"     808"
"Total male and female";"65 to 79 years";"1973 week 20";"     784"
"Total male and female";"65 to 79 years";"1973 week 21";"     838"
"Total male and female";"65 to 79 years";"1973 week 22";"     819"
"Total male and female";"65 to 79 years";"1973 week 23";"     784"
"Total male and female";"65 to 79 years";"1973 week 24";"     808"
"Total male and female";"65 to 79 years";"1973 week 25";"     804"
"Total male and female";"65 to 79 years";"1973 week 26";"     845"
"Total male and female";"65 to 79 years";"1973 week 27";"     815"
"Total male and female";"65 to 79 years";"1973 week 28";"     809"
"Total male and female";"65 to 79 years";"1973 week 29";"     771"
"Total male and female";"65 to 79 years";"1973 week 30";"     807"
"Total male and female";"65 to 79 years";"1973 week 31";"     840"
"Total male and female";"65 to 79 years";"1973 week 32";"     760"
"Total male and female";"65 to 79 years";"1973 week 33";"     867"
"Total male and female";"65 to 79 years";"1973 week 34";"     769"
"Total male and female";"65 to 79 years";"1973 week 35";"     787"
"Total male and female";"65 to 79 years";"1973 week 36";"     810"
"Total male and female";"65 to 79 years";"1973 week 37";"     766"
"Total male and female";"65 to 79 years";"1973 week 38";"     807"
"Total male and female";"65 to 79 years";"1973 week 39";"     792"
"Total male and female";"65 to 79 years";"1973 week 40";"     835"
"Total male and female";"65 to 79 years";"1973 week 41";"     848"
"Total male and female";"65 to 79 years";"1973 week 42";"     868"
"Total male and female";"65 to 79 years";"1973 week 43";"     888"
"Total male and female";"65 to 79 years";"1973 week 44";"     840"
"Total male and female";"65 to 79 years";"1973 week 45";"     843"
"Total male and female";"65 to 79 years";"1973 week 46";"     813"
"Total male and female";"65 to 79 years";"1973 week 47";"     811"
"Total male and female";"65 to 79 years";"1973 week 48";"     884"
"Total male and female";"65 to 79 years";"1973 week 49";"     889"
"Total male and female";"65 to 79 years";"1973 week 50";"     855"
"Total male and female";"65 to 79 years";"1973 week 51";"     942"
"Total male and female";"65 to 79 years";"1973 week 52";"     880"
"Total male and female";"65 to 79 years";"1973 week 53 (1 day)";"     141"
"Total male and female";"65 to 79 years";"1973";"   44359"
"Total male and female";"65 to 79 years";"1974 week 1 (6 days)";"     800"
"Total male and female";"65 to 79 years";"1974 week 2";"     902"
"Total male and female";"65 to 79 years";"1974 week 3";"     873"
"Total male and female";"65 to 79 years";"1974 week 4";"     884"
"Total male and female";"65 to 79 years";"1974 week 5";"     884"
"Total male and female";"65 to 79 years";"1974 week 6";"     901"
"Total male and female";"65 to 79 years";"1974 week 7";"     877"
"Total male and female";"65 to 79 years";"1974 week 8";"     798"
"Total male and female";"65 to 79 years";"1974 week 9";"     900"
"Total male and female";"65 to 79 years";"1974 week 10";"     889"
"Total male and female";"65 to 79 years";"1974 week 11";"     912"
"Total male and female";"65 to 79 years";"1974 week 12";"     833"
"Total male and female";"65 to 79 years";"1974 week 13";"     852"
"Total male and female";"65 to 79 years";"1974 week 14";"     819"
"Total male and female";"65 to 79 years";"1974 week 15";"     836"
"Total male and female";"65 to 79 years";"1974 week 16";"     823"
"Total male and female";"65 to 79 years";"1974 week 17";"     819"
"Total male and female";"65 to 79 years";"1974 week 18";"     843"
"Total male and female";"65 to 79 years";"1974 week 19";"     791"
"Total male and female";"65 to 79 years";"1974 week 20";"     805"
"Total male and female";"65 to 79 years";"1974 week 21";"     862"
"Total male and female";"65 to 79 years";"1974 week 22";"     846"
"Total male and female";"65 to 79 years";"1974 week 23";"     854"
"Total male and female";"65 to 79 years";"1974 week 24";"     850"
"Total male and female";"65 to 79 years";"1974 week 25";"     797"
"Total male and female";"65 to 79 years";"1974 week 26";"     742"
"Total male and female";"65 to 79 years";"1974 week 27";"     797"
"Total male and female";"65 to 79 years";"1974 week 28";"     761"
"Total male and female";"65 to 79 years";"1974 week 29";"     781"
"Total male and female";"65 to 79 years";"1974 week 30";"     765"
"Total male and female";"65 to 79 years";"1974 week 31";"     810"
"Total male and female";"65 to 79 years";"1974 week 32";"     797"
"Total male and female";"65 to 79 years";"1974 week 33";"     852"
"Total male and female";"65 to 79 years";"1974 week 34";"     827"
"Total male and female";"65 to 79 years";"1974 week 35";"     792"
"Total male and female";"65 to 79 years";"1974 week 36";"     722"
"Total male and female";"65 to 79 years";"1974 week 37";"     897"
"Total male and female";"65 to 79 years";"1974 week 38";"     838"
"Total male and female";"65 to 79 years";"1974 week 39";"     921"
"Total male and female";"65 to 79 years";"1974 week 40";"     878"
"Total male and female";"65 to 79 years";"1974 week 41";"     902"
"Total male and female";"65 to 79 years";"1974 week 42";"     819"
"Total male and female";"65 to 79 years";"1974 week 43";"     885"
"Total male and female";"65 to 79 years";"1974 week 44";"     897"
"Total male and female";"65 to 79 years";"1974 week 45";"     895"
"Total male and female";"65 to 79 years";"1974 week 46";"     856"
"Total male and female";"65 to 79 years";"1974 week 47";"     882"
"Total male and female";"65 to 79 years";"1974 week 48";"     883"
"Total male and female";"65 to 79 years";"1974 week 49";"     851"
"Total male and female";"65 to 79 years";"1974 week 50";"     865"
"Total male and female";"65 to 79 years";"1974 week 51";"     865"
"Total male and female";"65 to 79 years";"1974 week 52";"     952"
"Total male and female";"65 to 79 years";"1974 week 53 (2 days)";"     272"
"Total male and female";"65 to 79 years";"1974";"   44254"
"Total male and female";"65 to 79 years";"1975 week 1 (5 days)";"     673"
"Total male and female";"65 to 79 years";"1975 week 2";"     936"
"Total male and female";"65 to 79 years";"1975 week 3";"     988"
"Total male and female";"65 to 79 years";"1975 week 4";"     951"
"Total male and female";"65 to 79 years";"1975 week 5";"     954"
"Total male and female";"65 to 79 years";"1975 week 6";"    1000"
"Total male and female";"65 to 79 years";"1975 week 7";"     971"
"Total male and female";"65 to 79 years";"1975 week 8";"     973"
"Total male and female";"65 to 79 years";"1975 week 9";"     907"
"Total male and female";"65 to 79 years";"1975 week 10";"     860"
"Total male and female";"65 to 79 years";"1975 week 11";"     904"
"Total male and female";"65 to 79 years";"1975 week 12";"     873"
"Total male and female";"65 to 79 years";"1975 week 13";"     868"
"Total male and female";"65 to 79 years";"1975 week 14";"     903"
"Total male and female";"65 to 79 years";"1975 week 15";"     848"
"Total male and female";"65 to 79 years";"1975 week 16";"     823"
"Total male and female";"65 to 79 years";"1975 week 17";"     863"
"Total male and female";"65 to 79 years";"1975 week 18";"     807"
"Total male and female";"65 to 79 years";"1975 week 19";"     853"
"Total male and female";"65 to 79 years";"1975 week 20";"     848"
"Total male and female";"65 to 79 years";"1975 week 21";"     843"
"Total male and female";"65 to 79 years";"1975 week 22";"     886"
"Total male and female";"65 to 79 years";"1975 week 23";"     863"
"Total male and female";"65 to 79 years";"1975 week 24";"     928"
"Total male and female";"65 to 79 years";"1975 week 25";"     883"
"Total male and female";"65 to 79 years";"1975 week 26";"     776"
"Total male and female";"65 to 79 years";"1975 week 27";"     786"
"Total male and female";"65 to 79 years";"1975 week 28";"     840"
"Total male and female";"65 to 79 years";"1975 week 29";"     815"
"Total male and female";"65 to 79 years";"1975 week 30";"     772"
